id,summerProducts,winterProducts,discountPreference,locality,monthlyBudget,favoriteBrands,shoppingFrequency,gender,ageGroup,shoppingTime,submittedAt,favoriteCategories,nextPurchase,purchaseFactor,trendSource,preferredFit,nextColor,city,preferredSize,outOfStockBehaviour,shoppingMode,shoppingSeason,revisitReason,occupation,trendPurchaseSpeed,trendFollower,brandReason,leastPurchased,name,favoriteColors
Jackets,20%,shyamnagar,Below ₹1000,"H&M, Roadster, Nike",Monthly,Male,Under 18,Late Night (Online),"{type"":""firestore/timestamp/1.0""",seconds:1785256024,"nanoseconds:371000000}""",T-Shirts,Shirts,Brand,Pinterest,Slim,Black,kolkata,M,Buy Similar Product,Online,Winter,New Collection,Student,Within a Month,Often,Comfort,Jackets,Shreyan,"White, Beige"
synthetic_001,Dresses,Coats,10%,Rural,"₹5,000-₹10,000",Adidas,Every 2-3 months,Female,18-21,Evening,2026-08-10T18:08:40,Casual,Jeans,Comfort,Celebrities,Slim,Red,Kolkata,L,Buy another product,Both,Winter,New Collection,Teacher,Within a month,Sometimes,Quality,Ethnic Wear,Customer 001,Black
synthetic_002,T-Shirts,Shawls,50%+,Urban,"₹10,000+",Myntra,Monthly,Female,22-25,Night,2026-06-26T04:08:40,Streetwear,Shoes,Quality,Celebrities,Regular,Green,Bengaluru,L,Buy another product,Both,Monsoon,Variety,Teacher,Only if needed,No,Style,Accessories,Customer 002,Black
synthetic_003,Shirts,Shawls,20%,Semi-Urban,"₹5,000-₹10,000",Roadster,Weekly,Other,31-40,Afternoon,2026-09-01T15:08:40,Sportswear,Dress,Brand,YouTube,Slim,Green,Ranchi,XL,Buy another product,Online,Monsoon,Discounts,Other,Within a week,Yes,Availability,Formal Wear,Customer 003,"Blue, Grey"
synthetic_004,Jeans,Thermals,20%,Semi-Urban,"₹5,000-₹10,000",Adidas,Rarely,Other,26-30,Night,2026-06-04T23:08:40,Formal,Jeans,Design,Celebrities,Slim,Beige,Mumbai,S,Buy another product,Online,Winter,Good Service,Working Professional,Within a month,Sometimes,Trust,Accessories,Customer 004,"Green, Black"
synthetic_005,T-Shirts,Jackets,10%,Urban,"₹1,000-₹2,000",Zara,Every 2-3 months,Female,31-40,Evening,2026-07-03T13:08:40,Casual,Jacket,Reviews,Friends,Relaxed,White,Chennai,M,Visit another store,Offline,Monsoon,Variety,Teacher,Within a month,Yes,Trust,Ethnic Wear,Customer 005,"Blue, Grey"
synthetic_006,Dresses,Sweaters,50%+,Semi-Urban,"₹2,000-₹5,000",Adidas,Weekly,Male,18-21,Night,2026-05-22T18:08:40,Formal,Shirt,Comfort,Celebrities,Slim,White,Delhi,L,Visit another store,Both,Monsoon,Good Quality,Student,Immediately,Sometimes,Trust,Ethnic Wear,Customer 006,Blue
synthetic_007,Jeans,Sweaters,30%,Semi-Urban,"₹10,000+",Adidas,Weekly,Female,31-40,Morning,2026-07-27T21:08:40,Formal,Jeans,Comfort,Online Stores,Relaxed,Red,Delhi,XXL,Buy another brand,Both,Monsoon,New Collection,Teacher,Immediately,Sometimes,Availability,Sportswear,Customer 007,Blue
synthetic_008,Jeans,Thermals,50%+,Urban,"₹1,000-₹2,000",Puma,Rarely,Female,22-25,Morning,2026-05-31T09:08:40,Sportswear,Jacket,Price,Online Stores,Regular,Beige,Mumbai,L,Buy another brand,Offline,All Seasons,Variety,Other,Immediately,Yes,Style,Formal Wear,Customer 008,"White, Beige"
synthetic_009,Kurtas,Thermals,30%,Semi-Urban,"₹2,000-₹5,000",Roadster,Monthly,Female,22-25,Evening,2026-06-29T18:08:40,Party Wear,Hoodie,Brand,Celebrities,Regular,Beige,Delhi,L,Buy another product,Online,Summer,Good Quality,Other,Within a week,No,Price,Ethnic Wear,Customer 009,"Green, Black"
